id,text,start,end
5536760882825901738/00057_4,HAVE A PARTICULAR HOLD ON THE BRITISH PSYCHE THEY COMPLETELY UNDERSTAND OUR LOVE,11.350,17.470
5536760882825901738/00057_5,FOR THE PAST PARTICULARLY AS MANIFESTED BY HOUSES AND GARDENS,17.470,22.550
5536760882825901738/00057_6,OF COURSE,22.550,23.560
5536760882825901738/00057_7,SISSINGHURST,23.560,25.115
5536760882825901738/00057_8,IS THE VERY BEST OF THE NATIONAL TRUST GARDENS,25.115,-1.000
5536760882825901738/00059,EVERYTHING ELSE AT SISSINGHURST THERE IS SO MUCH MORE TO IT THAN FIRST OF ALL MEETS THE,0.000,-1.000
5536760882825901738/00065,SEE WHAT'S BEEN DESCRIBED AS ONE OF THE TRUE WONDERS OF BRITAIN UNDERNEATH A SUBURBAN HOUSE IN MARGATE DO JOIN US AFTER THE COUNTRY TRACKS WEATHER WHEN ALL WILL BE,0.000,-1.000
5536760882825901738/00071,ANY THAT THERE IS TO BE PLOUGHED INTO THE CONSERVATION WORKS BECAUSE OTHERWISE WE ARE IN DANGER OF DATING IT A WEEK BEFORE IT FALLS,0.000,-1.000
5536760882825901738/00064,THAT GREAT ARISTOCRATIC COUNTRY HOUSE STRUCTURE WAS ACTUALLY FALLING APART UNDER DEMOCRACY TAX REGIME WHATEVER YOU LIKE AND THIS IN A WAY COMPLETELY INTUITIVELY I THINK MODELS THE END OF A,0.000,-1.000
5536760882825901738/00058,GARDEN HERE AT SISSINGHURST TAPS DIRECTLY INTO ALMOST EVERY ENGLISH MAN AND WOMAN'S PERCEPTION AND DESIRE FOR THE PERFECT GARDEN,0.000,-1.000
5536760882825901738/00048,BEAR THINKING ABOUT IF THE PALACE WASN'T THERE IT'S PART OF EVERYBODY'S,0.000,-1.000
5536760882825901738/00049,WHEN THE MEDICINAL BENEFITS OF DRINKING AND BATHING IN SALT WATER BECAME,0.000,-1.000
5536760882825901738/00061,IT'S ICONIC AND IT HAS SPAWNED A THOUSAND IMITATIONS NONE OF WHICH ARE AS,0.000,-1.000
5536760882825901738/00076,HERE UNDERNEATH MARGATE IN A MYSTERIOUS SHELL FILLED GROTTO,0.000,-1.000
5536760882825901738/00005,ON A GOOD DAY FOUR OR 500,0.000,-1.000
5536760882825901738/00010,IN THE 50S CAUSED QUITE A LOT OF PROBLEMS IN,0.000,-1.000
5536760882825901738/00038,THE LODGE HAS A NUMBER OF UNDERWATER ENTRANCES IN ADDITION TO THAT THEY'VE MADE,0.000,-1.000
5536760882825901738/00012,FINANCIAL THING AS WELL AS BEING THE HOLIDAY,0.000,-1.000
5536760882825901738/00015,EVERY DAY TO MAKE SURE THE QUALITY IS HOLDING UP SO I FEEL QUITE HAPPY THEN,0.000,-1.000
5536038039829982468/00018,DECORATIVE ARTS FORM AROUND ABOUT 1900 TAUGHT IN EVENING CLASSES AND ART SCHOOLS AND ALL SORTS OF PEOPLE LAVISHED INCREDIBLE AMOUNTS OF CARE AND,0.000,-1.000
5536038039829982468/00031,FROM THE HIP MORE LIKE THESE PLEASE WHAT WE WANT IS A BIG PROFIT FROM YOU ON THIS BONUS BUY,0.000,-1.000
5536038039829982468/00019,WHO PROBABLY CREATED THIS PICTURE AND SHE WAS SO PROUD OF IT SHE HAD HER LABEL,0.000,-1.000
5536038039829982468/00033_0,GET IT AT PRECISELY THE RIGHT POSITION TO BE ABLE TO FOLD THOSE INCREDIBLY HEAVY PAGES AND BASICALLY CONTROL THE VOLUME NOW IF YOU DID NOT HAVE LARGE SHEETS OF PAPER BOUND IN A VOLUME TO PUT ON A FOLIO CABINET YOU WOULD HAVE A FOLIO STAND LIKE THIS WHICH WAS MADE FOR INDIVIDUAL SHEETS MAPS AND,0.000,-1.000
5536038039829982468/00032,DOWN THROUGH SUCCEEDING GENERATIONS OF THE BROWNLOW AND CUST FAMILIES EACH OF WHOM HAVE LEFT THEIR MARK ON THE ORGANISATION AND DECOR,0.000,-1.000
5536038039829982468/00026,A BIT OF PRESSURE THERE FROM THE BROTHER YES LITTLE PRESSURE TOWARDS THE END YES WELL YOU WERE MISBEHAVING HE IS DETERMINED,0.000,-1.000
5536038039829982468/00036,TRAVELLED THE GLOBE WITH CAPTAIN COOK AND,0.000,-1.000
5536038039829982468/00037,THE BIG QUESTION TODAY IS OF COURSE ARE OUR TEAMS GOING TO DRAW BLANK OVER AT THE,0.000,-1.000
5536038039829982468/00035,SENDING THEM BACK TO THE MAKER SO THAT OTHER DISCOVERIES WOULD BE ADDED AND HE WOULD SIMPLY PASTE ON ANOTHER,0.000,-1.000
5536038039829982468/00034,WELL DRESSED LIBRARY WOULD BE WITHOUT A PAIR OF THESE JOKERS LIBRARY GLOBES ONE CELESTIAL CONTAINING A MAP OF THE STARS THE OTHER TERRESTRIAL DESCRIBING THE COUNTRIES OF THE WORLD,0.000,-1.000
5536038039829982468/00052,NOTE LET'S FIND OUT WHAT THE AUCTIONEER THINKS ABOUT MARK'S LITTLE,0.000,-1.000
5536038039829982468/00044,THEY PAID THAT'S NOT TOO BAD THE ART,0.000,-1.000
5536038039829982468/00040,90 PAID SO UNIQUELY ACCORDING TO ESTIMATES THIS TEAM ARE SLIGHTLY SHY IN EVERY,0.000,-1.000
5536038039829982468/00039,THEY PAID A BIT SHY ON THAT NOW WHAT ABOUT THE,0.000,-1.000
5536038039829982468/00005,I USED TO GET PAID TO SHOUT THEN NOW JUST DO IT FOR FUN EXCELLENT,0.000,-1.000
5536038039829982468/00038,YOUNG IS THE PLACE FOR US IN GRANTHAM WITH OUR AUCTIONEER COLIN YOUNG COLIN GRAND TO SEE,0.000,-1.000
5536038039829982468/00007,BOTH TEACHERS SARAH WORKS AT HAVEN HIGH IN BOSTON AND I WORK AT SKEGNESS JUNIOR SCHOOL,0.000,-1.000
5536038039829982468/00002,I HAVEN'T I WAS APPOINTED IN AUGUST OF LAST YEAR,0.000,-1.000
5536038039829982468/00014,SORRY I CAN'T I PAID MORE THAN THAT FOR IT I'LL DO ANOTHER FIVE 45 SHALL WE,0.000,-1.000
5536038039829982468/00028,YOU'RE GOING TO BUY I DO TWO EX MILITARY MEN WE WERE LOOKING BOYS,0.000,-1.000
5536038039829982468/00001,THEY MAKE ANY EXTRA LOLLY THEY GET TO KEEP IT EASY EH WELL I CAN ASSURE YOU IT'S NOT THAT EASY HERE SO LET'S MEET TODAY'S,0.000,-1.000
5535423430009926848/00019,A BATH CHECK MY EMAILS AND THEN I'LL COME DOWN AND HE'LL BE READY,0.000,-1.000
5535423430009926848/00008,ABOUT THEM WHEN I'M DOING THEM ONE OF THOSE IS PASTA PESTO,0.000,-1.000
5535423430009926848/00011,THE FIRST FEW YEARS OF GROWING VEGS AND THINGS WAS THE MOST EXCITING FOR,0.000,-1.000
5535423430009926848/00010,AROUND THE PAN THEN THEY'LL GET EVENLY GOLD,0.000,-1.000
5535423430009926848/00003,I LOVE ALL OUR TRADITIONAL PIES SHEPHERD'S PIE COTTAGE PIE,0.000,-1.000
5535423430009926848/00017,DINNER REALLY MACKEREL'S PROBABLY ONE OF THE MOST UNDERRATED FISH IN THE SEA BUT YOU'VE GOT TO EAT,0.000,-1.000
5535423430009926848/00016,AND WE NEED TO LOOK AT FISH SOMETIMES IT MIGHT NOT BE THE PRETTIEST FISH IT MIGHT BE UGLY WITH THE HEAD ON BUT THE TASTE COULD BE FANTASTIC AND WE DON'T KNOW SOMETIMES,0.000,-1.000
5535423430009926848/00002,SOMETIMES YOU CAN COME UP WITH SOMETHING SO DELICIOUS YOU END UP STICKING WITH,0.000,-1.000
5535423430009926848/00014,ARE COOKING APPLES AND EATING APPLES I DON'T AGREE WITH IT AT ALL YOU CAN COOK WITH ANY APPLE,0.000,-1.000
5535423430009926848/00015,AND YET SO DIFFERENT AT THE SAME TIME I KNOW,0.000,-1.000
5536968329746298779/00018,NOW WE'VE GOT A LOVELY CLEAR NIGHT TONIGHT BUT BEFORE WE ACTUALLY TRY AND FIND COMET HARTLEY 2,0.000,-1.000
5536968329746298779/00030,SUNLIGHT RIGHT SLAP BANG IN THE MIDDLE OF THE EYE'S RESPONSE WHEN IT'S DARK ADAPTED SO THAT'S WHY IT'S LOOKING,0.000,-1.000
5536968329746298779/00025,AWESOME OR PRETTY MYSTERIOUS LIKE FOR INSTANCE COMET HOLMES OF A FEW YEARS AGO,0.000,-1.000
5536968329746298779/00019,NOW WE'VE BEEN FOLLOWING HARTLEY 2 OVER THE LAST COUPLE OF,0.000,-1.000
5536968329746298779/00027,IF ONE COMES WE'LL DEAL WITH IT VERY WELL ON THE SKY AT,0.000,-1.000
5536968329746298779/00026,PATRICK I THINK THAT'S ONE OF THE GREAT THINGS ABOUT ASTRONOMY YOU NEVER KNOW WHAT'S HAPPENING NEXT,0.000,-1.000
5536968329746298779/00022,BE SLIGHTLY FAINTER TOWARDS THE END OF THE MONTH BECAUSE THEN IT PASSES BETWEEN,0.000,-1.000
5536968329746298779/00023,AND OBSERVE COMET HARTLEY TONIGHT BUT IN ORDER TO DO THAT WE'RE GOING TO HAVE TO WAIT FOR THE SKY TO GET AS DARK AS IT CAN POSSIBLY GET SO WE'RE GOING TO SET UP OUR EQUIPMENT NOW,0.000,-1.000
5536968329746298779/00035,ACTUALLY JUPITER'S BEEN MOVING BACKWARDS AND FORWARDS AND GETTING QUITE CLOSE,0.000,-1.000
5536968329746298779/00021,IN NOVEMBER IT IS VERY CLOSE TO THE START PROCYON IN CANIS MINOR AND IF YOU'RE,0.000,-1.000
5536968329746298779/00009,PLACES ON THE SUNWARD SIDE BUT IT COULD BE THAT SOME COMETS HAVE JUST,0.000,-1.000
5536968329746298779/00008,IN TOWARDS THE SUN THE SUN'S HEAT WILL HEAT THE SURFACE AND BECAUSE IT'S MOSTLY COMPOSED OF ICE,0.000,-1.000
5536968329746298779/00020,THIS WITH A TORCH AND THE SCREEN ON THE TELESCOPE FRONT HERE,0.000,-1.000
5536968329746298779/00005,WOULD BE VERY UNIFORM AND SO IT SHOULD BE THE SAME THROUGHOUT THEIR,0.000,-1.000
5536968329746298779/00004,A LONG TIME MILLIONS OR BILLIONS OF YEARS THE VERY VERY WEAK GRAVITY WHICH IS ABOUT TWO MILLION,0.000,-1.000
5536968329746298779/00010,AND WHEN IT'S IN THE NIGHT SIDE OF THE COMET IT WILL SWITCH,0.000,-1.000
5536968329746298779/00006,THE CONTRAST IN THE IMAGE YOU CAN SEE SOMETHING LIKE 20 INDIVIDUAL SITES ON THE COMET THAT ARE THE SOURCE OF THESE JETS,0.000,-1.000
5536968329746298779/00012,TIME THE DUST PARTICLES ARE BEING,0.000,-1.000
5536968329746298779/00013,USED TO SEEING A LARGE TAIL AND THAT BUT ARGUABLY THE MOST IMPORTANT PART OF A COMET,0.000,-1.000
5536968329746298779/00014,WE HAVE HAD PREVIOUS MISSIONS TO COMETS AND THE FIRST PARTICULARLY WAS COMET HALLEY ABSOLUTELY RIGHT PATRICK AND,0.000,-1.000
5536968329746298779/00028,BUT THERE'S A PARENT THAT WE'RE STILL NOT TOO SURE ABOUT THAT COMES OUT AND IS DESTROYED BY SOLAR ULTRAVIOLET RADIATION AND A PRODUCT OF THAT,0.000,-1.000
5536968329746298779/00015,LIKE NOW IS A REALLY SPECTACULAR COMET A DAYLIGHT COMET AND I WONDER WHEN WE'RE GOING TO GET ONE WE CAN'T TELL THE WONDERFUL THING THOUGH IS THAT,0.000,-1.000
5537369050195015499/00018,EVER EVER COOKED WITH ANY RIVER FISH BEFORE AND BASICALLY I WOULD NOT FEEL COMFORTABLE OR CONFIDENT ENOUGH TO PULL A DISH OF THAT CALIBRE TO HIM,0.000,-1.000
5537369050195015499/00025,IS JUST SITTING ON LITTLE BED OF CELERY,0.000,-1.000
5537369050195015499/00019,I'LL BE COOKING ZANDER FOR THE FIRST TIME FOR 20 PEOPLE WHO KNOW ABOUT FOOD THAT'S THE WORST PART IT'S NOT THE FACT I CAN'T DO IT IT'S COOKING FOR 20 PEOPLE WHO I KNOW KNOW ABOUT FOOD LIKE,0.000,-1.000
5537369050195015499/00037,WAS SO RIGHT UNTIL YOU DECIDED TO DO A JAMES ON ME,0.000,-1.000
5537369050195015499/00008,COOK AND I KNOW ALI IS A WONDERFUL HOST SO THEY JUST NEED TO WORK AS A TEAM,0.000,-1.000
5537369050195015499/00004,JUST SOMETHING EXCITING TO GET THE PALATE GOING,0.000,-1.000
5537369050195015499/00038,TO SEE PROGRESS IN ANY YOUNG PERSON TO GROW AND I THINK THEY HAVE DONE THAT THEY REALLY SHOULD BE PROUD OF,0.000,-1.000
5537369050195015499/00006,I LOVE THE IDEA OF THE RISOTTO BUT THE VENISON FOR ME DOESN'T BRING ANYTHING AT ALL TO THE PARTY,0.000,-1.000
5537369050195015499/00012,THE PARSNIPS THERE AND I WASN'T EXPECTING THAT,0.000,-1.000
5537369050195015499/00002,DINNER FOR 20 PEOPLE IN CELEBRATION OF,0.000,-1.000
5537369050195015499/00014,PRODUCE A LITTLE BIT MODERN CONTEMPORARY WITH YOU KNOW WELL IT'S A CLASSIC,0.000,-1.000
5537369050195015499/00001,DINNER WHICH SHOWS A HIGH STANDARD OF FOOD AND IT SHOWS AN APPRECIATION OF WHAT THE HENLEY FOOD FESTIVAL IS ALL,0.000,-1.000
5535496873950688380/00018,DIDN'T HAVE ENOUGH EXERCISE SO MALVERN WAS A MARVELLOUS PLACE FOR THEM BECAUSE THE ENVIRONMENT WAS RIGHT,0.000,-1.000
5535496873950688380/00030,FROM HER ACTIVITIES AT THE CRIMEAN WAR AND BEFOREHAND BEFORE THE CRIMEAN WAR SHE WAS VERY WELL KNOWN BECAUSE HER FAMILY WERE VERY VERY WEALTHY VERY WELL CONNECTED THEY KNEW EVERYBODY THE PEOPLE THEY DIDN'T KNOW WEREN'T WORTH,0.000,-1.000
5535496873950688380/00024_0,FAMOUS IN HER OWN LIFETIME FOR HER INCREDIBLE WORK DURING THE CRIMEAN WAR AND FOR ESTABLISHING NURSING AS A TRUE PROFESSION WHEN SHE VISITED HERE GREAT MALVERN SHE WAS ACTUALLY LOOKING FOR A CURE FOR HERSELF HER NAME OF COURSE WAS FLORENCE NIGHTINGALE,0.000,-1.000
5535496873950688380/00025,THAT GOD WAS CALLING HER TO WORK BUT SHE WASN'T QUITE SURE WHAT THAT WORK SHOULD BE SHE BEGAN TO DEVELOP AN INTEREST IN NURSING BUT HER PARENTS FELT THIS PROFESSION WAS INAPPROPRIATE FOR A WOMAN OF HER CLASS,0.000,-1.000
5535496873950688380/00019,AND BEING GIVEN HEAVY METAL POISONS SUCH AS ARSENIC AND,0.000,-1.000
5535496873950688380/00032,AS MANY AS SHE HAD TAKEN BEFORE THE CRIMEAN WAR BECAUSE HERE HER AILMENTS WERE STRESS RELATED AND SHE NEEDED SEDATION SHE NEEDED SEDATIVE TREATMENTS BY AND LARGE SHE WOULD JUST TAKE THE PACK AND THAT WOULD BRING DOWN HER,0.000,-1.000
5535496873950688380/00026,CAME BECAUSE SHE WAS ILL BUT DIFFERENT SORTS OF ILLNESSES THE FIRST TIME SHE CAME WAS BEFORE THE CRIMEAN WAR AND SHE PROBABLY HAD WOMEN'S PROBLEMS OR DIGESTIVE PROBLEMS AFTER THE CRIMEAN WAR SHE HAD A VARIETY OF STRESS RELATED,0.000,-1.000
5535496873950688380/00036,ILL AND HER FAMILY THE WHOLE FAMILY WERE VERY WORRIED LET ME JUST,0.000,-1.000
5535496873950688380/00037,DAY SHE WAS FAIRLY ILL FOR LOT OF HER LIFE IT COULD BE DOWN TO THE FACT THE CRIMEAN WAR TOOK ITS TOLL ON HER YES DID THE CURE ACTUALLY HELP HER DO YOU THINK,0.000,-1.000
5535496873950688380/00009,HERE FIRSTLY WE'RE CONCENTRATING ALCOHOL AND BY LAW WE HAVE TO TAKE IT TO 96 ABV THE,0.000,-1.000
5535496873950688380/00020_0,DO YOU THINK IT WORKS AND ARE YOU STILL PRESCRIBING IT TODAY I THINK IT WORKS BUT I RECOMMEND IT I DON'T PRESCRIBE IT IT IS VERY GOOD FOR RELAXING YOU,0.000,8.810
5535496873950688380/00020_1,COLD WATER STIMULATES YOUR IMMUNE SYSTEM SO IF YOU'VE GOT A COLD I GUARANTEE WE CAN ABORT IT BY EXTRA COLD BATHS I SAY EXTRA OF COURSE RIGHT WELL I AM FEELING A BIT SNIFFLY I HAVE BROUGHT MY SHORTS TO MALVERN SO SHALL WE TRY IT OUT YES,8.810,-1.000
5535496873950688380/00047,OF SMALL CONVENIENCE WHICH IS PERFECT BECAUSE THIS ACTUALLY USED TO BE AN OLD VICTORIAN,0.000,-1.000
5535496873950688380/00052,DENNIS FINISH I WOULD BUT THEY DON'T SO I CARRY ON IT'S JUST TAKEN ME IT'S THE SHORT SHOWS,0.000,-1.000
5535496873950688380/00044,MOVING BACK TO HIS BELOVED MALVERNS THE MALVERNS OF HIS YOUTH PROVED IN FACT TO BE A NEW BEGINNING,0.000,-1.000
5535496873950688380/00045,WAR DEPRESSED ELGAR DEEPLY AND HIS LAST MAJOR WORK THE CELLO CONCERTO REFLECTED THE DESPAIR THAT HE FELT HE WAS MOURNING A VANISHED ERA,0.000,-1.000
5535496873950688380/00079,THANK YOU FOR SHOWING ME THE DEAD ROOM I'M COMING OUT OF,0.000,-1.000
5535496873950688380/00041,THIS ISN'T IT I MEAN ONE OF THE THINGS THAT'S REALLY STRIKING ABOUT THIS APART FROM THE PREVALENCE OF GREEN IS THERE NO COLOURS OR LIGHTS THAT STAND OUT EVERYTHING BLENDS DOESN'T,0.000,-1.000
5535496873950688380/00069,VERY INTERESTING SO YOU'VE PLAYED EDDIE GRUNDY THAT LOVABLE ROGUE FOR HOW MANY YEARS,0.000,-1.000
5535496873950688380/00083,THEY'VE JUST FINISHED THAT SCENE AND IT TAKES A LOT MORE THAN I IMAGINED WHICH I SUPPOSE MAKES SENSE BECAUSE YOU'RE USING YOUR VOICE TO TELL THE ENTIRE STORY WITH ALL ITS LITTLE NUANCES NOW ALL I NEED TO DO IS FIND THE BOSS AND ASK FOR PART,0.000,-1.000
5535496873950688380/00068,TO MEET TWO OF THE ACTORS WHO PLAY EDDIE GRUNDY AND ELIZABETH PARGETTER SO THEY CAN SHOW ME HOW ALL THE MAGIC HAPPENS,0.000,-1.000
5535496873950688380/00040_0,RECALLED THOSE CHILDHOOD DAYS,0.000,1.960
5535496873950688380/00040_1,HE SAID I'M STILL AT HEART THE DREAMY CHILD WHO CAN BE FOUND IN THE REEDS BY THE SEVERN'S SIDE,1.960,7.880
5535496873950688380/00040_2,WITH A PIECE OF PAPER IN MY HAND TRYING TO FIX THE SOUNDS,7.880,12.610
5535496873950688380/00040_3,LONGING FOR SOMETHING VERY GREAT,12.610,-1.000
5535496873950688380/00056,HAVE MADE OF THESE TREES AND OTHER PLANTS THAT BROKE THE RULES THAT DIDN'T SHED THEIR LEAVES IN AUTUMN THAT STAYED MYSTERIOUSLY AND THEREFORE PROBABLY MAGICALLY GREEN THROUGHOUT THE,0.000,-1.000
5535496873950688380/00042,THE STRINGS WHICH OF COURSE IS THE ARCHETYPAL WOODY RESIN Y SOUND BUT HE MIXES IN THE COLOURS OF THE WOODWINDS AND AT ONE POINT THE HORNS SO YOU CAN JUST HEAR THEM,0.000,-1.000
5535496873950688380/00043,I LISTEN TO THE SOUND OF THE TREES AM I WRITING THEIR MUSIC AM I SINGING THEIR MUSIC OR ARE THEY SINGING MINE HE FELT THAT KIND OF WHOLE QUESTION OF THE NATURE ATMOSPHERE WAS WHAT GAVE HIM THE SOUNDS HE,0.000,-1.000
5535496873950688380/00072,THIS IS WHERE THE COWS ARE MILKED ALL THE CLUSTERS I LOVE THE WAY YOU ASSOCIATE CERTAIN AREAS OF THIS,0.000,-1.000
5535496873950688380/00066,THE ARCHERS IS THE LONGEST RUNNING RADIO SOAP OPERA IN THE WORLD WITH OVER 15 000 EPISODES RECORDED TO DATE NOW IT'S BROADCAST ON BBC RADIO 4 FROM SUNDAYS TO FRIDAYS AND IS RECORDED HERE AT BBC,0.000,-1.000
5535496873950688380/00067,THE ARCHERS LOST ITS EDUCATIONAL PURPOSE IN 1972 BUT STILL PRIDES ITSELF IN ITS REFLECTION OF RURAL LIFE I'M GOING TO GO,0.000,-1.000
